busid,latitude,longitude,zip,fips
3006020,30.5309,-98.3778,78657,48299
3006021,30.5626,-97.9079,78641,48453
3006022,30.5626,-97.9079,78641,48453
3006023,30.5626,-97.9079,78641,48453
3006024,30.3043,-97.6857,78723,48453
3006025,29.59,-98.5253,78248,48029
3006026,29.3413,-98.7056,78054,48029
3006027,30.3386,-97.3612,78621,48021
3006028,30.2162,-97.856,78749,48453
3006029,28.9522,-97.8872,78144,48255
3006030,29.2023,-97.0763,-1,48123
3006031,29.2023,-97.0763,-1,48123
3006032,30.3197,-97.9582,78738,48453
3006033,30.4385,-97.5946,78660,48453
3006034,30.4385,-97.5946,78660,48453
3006035,30.4385,-97.5946,78660,48453
3006036,29.5859,-98.4068,78247,48029
3006037,29.5859,-98.4068,78247,48029
3006038,30.2934,-97.7844,78703,48453
3006039,30.2934,-97.7844,78703,48453
3006040,30.2934,-97.7844,78703,48453
3006041,30.2934,-97.7844,78703,48453
3006042,30.2934,-97.7844,78703,48453
3006043,29.462,-98.6768,78251,48029
3006044,29.4151,-98.4591,78203,48029
3006045,29.5889,-98.6139,78249,48029
3006046,29.5889,-98.6139,78249,48029
3006047,29.5889,-98.6139,78249,48029
3006048,29.5889,-98.6139,78249,48029
3006049,29.5889,-98.6139,78249,48029
3006050,29.5889,-98.6139,78249,48029
3006051,29.5889,-98.6139,78249,48029
3006052,29.5889,-98.6139,78249,48029
3006053,29.5889,-98.6139,78249,48029
3006054,29.5889,-98.6139,78249,48029
3006055,29.9033,-98.5564,78006,48259
3006056,29.6969,-98.0707,78130,48187
3006057,29.6969,-98.0707,78130,48187
3006058,29.6969,-98.0707,78130,48187
